,question,answer,document
0,Marighella,Veja o vídeo 'Marighella' clicando em: https://globoplay.globo.com/marighella/t/gpJRB7PKjY/,https://globoplay.globo.com/categorias/biografias/
1,2 Filhos de Francisco,Veja o vídeo '2 Filhos de Francisco' clicando em: https://globoplay.globo.com/2-filhos-de-francisco/t/NLzZnjkvxV/,https://globoplay.globo.com/categorias/biografias/
2,"Dalva e Herivelto, Uma Canção de Amor - O Filme","Veja o vídeo 'Dalva e Herivelto, Uma Canção de Amor - O Filme' clicando em: https://globoplay.globo.com/dalva-e-herivelto-uma-cancao-de-amor-o-filme/t/78hmP1QTgQ/",https://globoplay.globo.com/categorias/biografias/
3,Retratos de uma Vida - Freddie Mercury,Veja o vídeo 'Retratos de uma Vida - Freddie Mercury' clicando em: https://globoplay.globo.com/retratos-de-uma-vida-freddie-mercury/t/bKCdTshRQx/,https://globoplay.globo.com/categorias/biografias/
4,Senna,Veja o vídeo 'Senna' clicando em: https://globoplay.globo.com/senna/t/H9k1mN6KyD/,https://globoplay.globo.com/categorias/biografias/
5,O Nome Da Morte,Veja o vídeo 'O Nome Da Morte' clicando em: https://globoplay.globo.com/o-nome-da-morte/t/WXgZ9c77Hn/,https://globoplay.globo.com/categorias/biografias/
6,Doutor Gama,Veja o vídeo 'Doutor Gama' clicando em: https://globoplay.globo.com/doutor-gama/t/c8cRLLR5ps/,https://globoplay.globo.com/categorias/biografias/
7,Maysa: Quando Fala o Coração - O Filme,Veja o vídeo 'Maysa: Quando Fala o Coração - O Filme' clicando em: https://globoplay.globo.com/maysa-quando-fala-o-coracao-o-filme/t/YHYvMBMNfm/,https://globoplay.globo.com/categorias/biografias/
8,"Lula, O Filho Do Brasil","Veja o vídeo 'Lula, O Filho Do Brasil' clicando em: https://globoplay.globo.com/lula-o-filho-do-brasil/t/mrbMK2rGrP/",https://globoplay.globo.com/categorias/biografias/
9,Olga,Veja o vídeo 'Olga' clicando em: https://globoplay.globo.com/olga/t/1yyGDcwyyq/,https://globoplay.globo.com/categorias/biografias/
10,Elis,Veja o vídeo 'Elis' clicando em: https://globoplay.globo.com/elis/t/x1HjMfDYrt/,https://globoplay.globo.com/categorias/biografias/
11,Alexandre,Veja o vídeo 'Alexandre' clicando em: https://globoplay.globo.com/alexandre/t/ZDBPH6vw1z/,https://globoplay.globo.com/categorias/biografias/
12,Retratos de uma Vida - Amy Winehouse,Veja o vídeo 'Retratos de uma Vida - Amy Winehouse' clicando em: https://globoplay.globo.com/retratos-de-uma-vida-amy-winehouse/t/LKZnqPNkjz/,https://globoplay.globo.com/categorias/biografias/
13,A História de Diana,Veja o vídeo 'A História de Diana' clicando em: https://globoplay.globo.com/a-historia-de-diana/t/yM15qQkQZk/,https://globoplay.globo.com/categorias/biografias/
14,Framing Britney Spears: A Vida de uma Estrela,Veja o vídeo 'Framing Britney Spears: A Vida de uma Estrela' clicando em: https://globoplay.globo.com/framing-britney-spears-a-vida-de-uma-estrela/t/MF1WBKpF66/,https://globoplay.globo.com/categorias/biografias/
15,Michael Jackson: O Rei do Pop,Veja o vídeo 'Michael Jackson: O Rei do Pop' clicando em: https://globoplay.globo.com/michael-jackson-o-rei-do-pop/t/gjGKYxpYcQ/,https://globoplay.globo.com/categorias/biografias/
16,Retratos de uma Vida - Tupac Shakur,Veja o vídeo 'Retratos de uma Vida - Tupac Shakur' clicando em: https://globoplay.globo.com/retratos-de-uma-vida-tupac-shakur/t/ZbBqJpVy6N/,https://globoplay.globo.com/categorias/biografias/
17,Simonal,Veja o vídeo 'Simonal' clicando em: https://globoplay.globo.com/simonal/t/gPf1tBZqP5/,https://globoplay.globo.com/categorias/biografias/
18,Chacrinha - O Velho Guerreiro,Veja o vídeo 'Chacrinha - O Velho Guerreiro' clicando em: https://globoplay.globo.com/chacrinha-o-velho-guerreiro/t/pBBmfwJd2W/,https://globoplay.globo.com/categorias/biografias/
19,A Teoria De Tudo,Veja o vídeo 'A Teoria De Tudo' clicando em: https://globoplay.globo.com/a-teoria-de-tudo/t/mvxqnCSdYg/,https://globoplay.globo.com/categorias/biografias/
20,Gonzaga - De Pai Pra Filho,Veja o vídeo 'Gonzaga - De Pai Pra Filho' clicando em: https://globoplay.globo.com/gonzaga-de-pai-pra-filho/t/BbRPy1BpNv/,https://globoplay.globo.com/categorias/biografias/
21,Chico Xavier,Veja o vídeo 'Chico Xavier' clicando em: https://globoplay.globo.com/chico-xavier/t/KPGhZVJJrf/,https://globoplay.globo.com/categorias/biografias/
22,Lampião e Maria Bonita - O Filme,Veja o vídeo 'Lampião e Maria Bonita - O Filme' clicando em: https://globoplay.globo.com/lampiao-e-maria-bonita-o-filme/t/FSfnPpGYGk/,https://globoplay.globo.com/categorias/biografias/
23,Grace De Mônaco,Veja o vídeo 'Grace De Mônaco' clicando em: https://globoplay.globo.com/grace-de-monaco/t/t6WSRpHWVv/,https://globoplay.globo.com/categorias/biografias/
